pop,rock,country,metal,hip hop,R&B,Dance/Electronic,Folk/Acoustic,easy listening,latin,blues,set(),World/Traditional,jazz,classical,year,popularity
1.0,,,,,1.0,,,,,,,,,,2002,55
1.0,,,,1.0,1.0,,,,,,,,,,2002,60
1.0,,,,,1.0,,,,,,,,,,2003,64
1.0,,,,,,,,,,,,,,,2003,44
,,,,1.0,,,,,,,,,,,2002,63
1.0,,,,1.0,1.0,,,,,,,,,,2003,61
1.0,,,,1.0,1.0,,,,,,,,,,2003,61
1.0,,,,,1.0,,,,,,,,,,2003,47
1.0,,,,1.0,1.0,,,,,,,,,,2002,61
1.0,1.0,,,,,,,,,,,,,,2002,63
1.0,,,,1.0,,,,,,,,,,,2003,66
1.0,,,,1.0,1.0,,,,,,,,,,2003,67
1.0,1.0,,,,,,,,,,,,,,2003,61
1.0,,,,,,,,,,,,,,,2002,58
,1.0,,1.0,,,,,,,,,,,,2002,68
,,,,1.0,1.0,,,,,,,,,,2003,63
,1.0,,,,,,,,,,,,,,2003,74
1.0,,,,,,,,,,,,,,,2002,70
1.0,,,,,,,,,,,,,,,2003,55
1.0,,,,1.0,1.0,,,,,,,,,,2004,81
1.0,,,,,,,,,,,,,,,2002,77
1.0,,,,,,,,,,,,,,,2003,81
1.0,,,,1.0,,,,,,,,,,,2003,80
1.0,1.0,,1.0,,,,,,,,,,,,2003,79
1.0,,,,,,,,,,,,,,,2004,65
,,,,,,,,,1.0,,,,,,2004,11
1.0,,,,1.0,,,,,,,,,,,2004,53
1.0,,,,,,,,,,,,,,,2004,56
,,,,1.0,,,,,,,,,,,2004,67
1.0,,,,,,,,,,,,,,,1999,56
1.0,,,,,1.0,,,,,,,,,,2004,60
1.0,,,,1.0,1.0,,,,,,,,,,2004,56
,,,1.0,,,,,,,,,,,,2003,68
1.0,,,,1.0,,,,,,,,,,,2004,59
1.0,,,,,1.0,,,,,,,,,,2003,63
,1.0,,1.0,,,,,,,,,,,,2003,81
1.0,,,,1.0,,,,,,,,,,,2004,61
1.0,,,,,,,,,,,,,,,2004,16
1.0,1.0,,,1.0,,,,,,,,,,,2004,73
1.0,,,,1.0,1.0,,,,,,,,,,2004,42
1.0,,,,,,,,,,,,,,,2016,66
1.0,,,,,1.0,,,,,,,,,,2004,61
1.0,,,,,,1.0,,,,,,,,,2004,72
1.0,,,,,1.0,,,,,,,,,,2004,67
1.0,,,,,1.0,1.0,,,,,,,,,2003,63
1.0,,,,1.0,1.0,,,,,,,,,,2004,56
,1.0,,,,,,,,,,,,,,2004,63
,,,,,,,,,,,1.0,,,,2004,57
1.0,,,,,,,,,,,,,,,2004,53
1.0,,,,,1.0,,,,,,,,,,2004,67
1.0,,,,1.0,1.0,,,,1.0,,,,,,2003,73
1.0,,,,1.0,,,,,,,,,,,2003,56
,,,,1.0,,,,,,,,,,,2003,53
1.0,,,,,,,,,1.0,,,,,,2004,70
1.0,,,,,,,,,,,,,,,2004,61
1.0,1.0,,,,,,,,,,,,,,2004,33
1.0,,,,1.0,,,,,,,,,,,2003,49
1.0,,,,1.0,,,,,,,,,,,2003,61
1.0,,,,,,,,,1.0,,,,,,2003,37
1.0,,,,,1.0,1.0,,,,,,,,,2003,68
,1.0,,1.0,,,,,,,,,,,,2003,68
1.0,,,,1.0,1.0,,,,,,,,,,2005,49
1.0,,,,1.0,1.0,,,,,,,,,,2004,45
1.0,,,,,1.0,,,,,,,,,,2003,56
,,,,1.0,,,,,,,,,,,2004,67
1.0,,,,,1.0,,,,,,,,,,2003,58
1.0,,,,1.0,,,,,,,,,,,2004,39
1.0,,,,1.0,,,,,,,,,,,2002,68
,,,,,,1.0,,,,,,,,,2004,65
1.0,1.0,,,1.0,,,,,,,,,,,2004,57
1.0,,,,,,1.0,,,,,,,,,2003,0
,,,,1.0,,,,,,,,,,,2004,67
1.0,,,,1.0,1.0,,,,,,,,,,2003,61
1.0,,,,1.0,,,,,,,,,,,2004,63
,,,,,,,,,,,1.0,,,,2004,51
1.0,,,,,,1.0,,,,,,,,,2004,47
1.0,,,,1.0,1.0,,,,,,,,,,2004,66
,,,,1.0,,,,,,,,,,,2004,57
1.0,,,,,,,,,,,,,,,2003,63
,1.0,,,,,,,,,,,1.0,,,2004,64
,1.0,,,,,,,,,,,,,,2004,77
1.0,,,,1.0,,,,,,,,,,,2001,59
1.0,,,,1.0,,,,,,,,,,,2003,61
1.0,,,,1.0,,,,,,,,,,,2004,42
,,,,1.0,,,,,,,,,,,2004,73
,,,1.0,,,,,,,,,,,,2003,72
1.0,,,,1.0,1.0,,,,,,,,,,2004,57
,,,,,1.0,,,,,,,,,,2004,46
1.0,1.0,,,,,,,,,,,,,,2003,60
1.0,,,,,,,,,,,,,,,2004,58
1.0,,,,1.0,1.0,,,,,,,,,,2004,72
,1.0,,,,,,,,,,,,,,2004,77
1.0,,,,,1.0,1.0,,,,,,,,,2003,57
1.0,1.0,,,,,1.0,,,,,,,,,2004,43
1.0,,,,,1.0,,,,,,,,,,2003,55
,,,,1.0,,,,,,,,,,,2004,76
1.0,,,,,,,,,,,,,,,2004,61
1.0,,,,1.0,,,,,,,,,,,2003,48
1.0,,,,,,,,,,,,,,,2004,68
1.0,,,,,,,,,,,,,,,2003,44
,,,,,,,,,,,1.0,,,,2004,64
1.0,,,,,1.0,,,,,,,,,,2003,62
1.0,1.0,,1.0,,,,,,,,,,,,2002,74
,,,,1.0,,,,,,,,,,,2004,80
1.0,,,,1.0,1.0,,,,,,,,,,2004,56
1.0,,,,,,,,1.0,,,,,1.0,,2003,55
1.0,,,,1.0,1.0,,,,,,,,,,2004,76
1.0,,,,1.0,1.0,,,,,,,,,,2004,59
,,,,,,1.0,,,,,,,,,2004,59
,,,,1.0,,1.0,,,,,,,,,2004,58
1.0,,,,1.0,,,,,,,,,,,2003,64
1.0,,,,1.0,,,,,,,,,,,2003,66
1.0,,,,,,1.0,,,,,,,,,2004,59
1.0,,,,,1.0,,,,,,,,,,2003,57
,,,,1.0,,,,,,,,,,,2004,48
1.0,,,,,,,,,,,,,,,2001,65
1.0,,,,,,,,,,,,,,,2004,56
1.0,,,,,,,,,,,,,,,2003,55
1.0,,,,,1.0,,,,,,,,,,2003,61
1.0,,,,,1.0,,,,,,,,,,2005,69
1.0,,,,,1.0,,,,,,,,,,2004,72
,,,,1.0,,,,,,,,,,,2005,78
1.0,,,,1.0,1.0,,,,,,,,,,2005,77
1.0,,,,1.0,,,,,,,,,,,2005,79
1.0,,,,,,,,,,,,,,,2005,75
,1.0,,,,,,,,,,,,,,2004,72
1.0,,,,,1.0,,,,,,,,,,2005,72
1.0,,,,,,,,,,,,,,,2005,74
1.0,,,,,,,,,,,,,,,2004,28
1.0,,,,,,,,,,,,,,,2005,74
1.0,,,,1.0,,,,,,,,,,,2005,76
1.0,,,,,,,,,,,,,,,2005,67
,,,,1.0,,,,,,,,,,,2004,52
1.0,,,,1.0,,,,,,,,,,,2005,59
1.0,,,,,1.0,,,,,,,,,,2004,68
,,,,,,1.0,,,,,,,,,2005,63
1.0,1.0,,,1.0,,,,,,,,,,,2005,73
1.0,,,,1.0,,,,,,,,,,,2005,72
1.0,,,,1.0,,,,,,,,,,,2005,74
1.0,,,,1.0,1.0,,,,,,,,,,2005,71
1.0,,,,,1.0,,,,,,,,,,2005,0
1.0,,,,1.0,,,,,,,,,,,2005,67
1.0,,,,,1.0,,,,,,,,,,2004,61
1.0,,,,1.0,,,,,,,,,,,2005,60
1.0,,,,1.0,1.0,,,,1.0,,,,,,2005,4
1.0,,,,1.0,1.0,,,,,,,,,,2005,65
,,,,1.0,,,,,,,,,,,2004,76
1.0,,,,1.0,,,,,,,,,,,2005,77
,,,,1.0,,,,,,,,,,,2005,82
1.0,,,,1.0,,,,,,,,,,,2005,62
