,popularity,year,variable,value
1149,65,2011,pop,1.0
1150,75,2011,pop,1.0
1151,62,2011,pop,1.0
1152,48,2011,pop,1.0
1153,69,2011,pop,1.0
1154,65,2011,pop,1.0
1156,78,2010,pop,1.0
1157,69,2010,pop,1.0
1158,66,2010,pop,1.0
1159,53,2019,pop,1.0
1160,74,2011,pop,1.0
1164,76,2011,pop,1.0
1166,72,2011,pop,1.0
1167,0,2010,pop,1.0
1169,62,2012,pop,1.0
1170,70,2012,pop,1.0
1171,82,2011,pop,1.0
1172,74,2011,pop,1.0
1173,73,2011,pop,1.0
1175,63,2011,pop,1.0
1176,72,2009,pop,1.0
1177,68,2011,pop,1.0
1178,75,2010,pop,1.0
1179,70,2011,pop,1.0
1180,64,2011,pop,1.0
1181,70,2011,pop,1.0
1182,4,2011,pop,1.0
1184,67,2010,pop,1.0
1185,60,2010,pop,1.0
1187,67,2011,pop,1.0
1188,63,2011,pop,1.0
1189,73,2011,pop,1.0
1190,79,2011,pop,1.0
1191,69,2011,pop,1.0
1192,69,2011,pop,1.0
1193,76,2010,pop,1.0
1194,72,2011,pop,1.0
1195,75,2010,pop,1.0
1197,0,2011,pop,1.0
1198,60,2011,pop,1.0
1199,70,2011,pop,1.0
1200,75,2011,pop,1.0
1201,78,2012,pop,1.0
1202,76,2012,pop,1.0
1203,70,2012,pop,1.0
1204,74,2011,pop,1.0
1205,52,2012,pop,1.0
1206,74,2012,pop,1.0
1207,65,2012,pop,1.0
1208,71,2011,pop,1.0
1210,74,2012,pop,1.0
1211,70,2011,pop,1.0
